year,Godawari,Budhinanda,Naumule
1980,3330.593221,-1254.300239,-74.19645403
1981,3073.575335,-1475.588854,-184.0154523
1982,3148.074695,-1464.90698,-279.066207
1983,3146.579382,-1575.700702,-254.3179414
1984,3309.30131,-1153.905262,6.414133954
1985,3410.914587,-1186.430622,103.6982239
1986,3231.370464,-1549.231243,-158.2593496
1987,3542.535604,-1094.477085,211.9892772
1988,3523.846599,-896.8812239,199.947556
1989,3245.990648,-1316.113267,-211.3484775
1990,3279.45005,-1131.574769,46.07460237
1991,3320.060747,-1305.281799,-71.45122562
1992,3262.790234,-1349.8272,-114.8209298
1993,3241.944033,-1060.725382,-4.940443706
1994,3337.805747,-1225.85951,-36.69734593
1995,3295.842334,-1290.172353,-99.20725672
1996,3300.087284,-1222.253058,-43.71240984
1997,2914.166943,-1733.949514,-497.4785461
1998,3347.044308,-1017.251219,163.8078718
1999,3464.94596,-856.5469034,278.4805835
2000,3137.629826,-1180.231087,-122.3249431
2001,3249.570962,-964.5320052,-12.21465155
2002,3228.123136,-1165.770694,-100.7701659
2003,3202.813119,-1095.285433,-15.51110113
2004,3302.062959,-995.312389,77.9806792
2005,3329.921816,-1227.395963,-129.7113578
2006,3446.476936,-812.2161857,236.0591724
2007,3316.135269,-908.1804947,134.7135541
2008,3337.546737,-1024.111795,65.60864674
2009,3568.429211,-734.4778182,317.5570565
2010,3604.803404,-608.7701251,417.6077816
2011,3276.471319,-1031.633575,18.78946604
2012,3300.391906,-1303.253495,-176.7186538
2013,3289.849476,-1051.192602,42.0768651
2014,3307.988372,-1218.599907,-59.83539862
2015,3325.832322,-1104.033726,-14.88426784
2016,3541.60534,-493.1023552,332.169555
2017,3462.57017,-888.1172347,210.6310495
2018,3333.370371,-821.748395,161.769685
2019,3345.196957,-1279.067292,-73.2933733
2020,3217.688404,-1293.74515,9.13065975
2021,3379.74597,-1003.270135,249.6017746
2022,3390.558971,-1050.758997,185.075739
